url,code,severity,confidence,evidence,action
https://beehivedesign.vercel.app/,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/"", ""url"": ""https://www.beehivedesign.ie/""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/seo-services-ireland,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/seo-services-ireland"", ""url"": ""https://www.beehivedesign.ie/seo-services-ireland""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/seo-consultant-ireland,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/seo-consultant-ireland"", ""url"": ""https://www.beehivedesign.ie/seo-consultant-ireland""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/local-seo-services-ireland,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/local-seo-services-ireland"", ""url"": ""https://www.beehivedesign.ie/local-seo-services-ireland""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/about,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/about"", ""url"": ""https://www.beehivedesign.ie/about""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog"", ""url"": ""https://www.beehivedesign.ie/blog""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/contact,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/contact"", ""url"": ""https://www.beehivedesign.ie/contact""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it"", ""url"": ""https://www.beehivedesign.ie/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/best-seo-consultants-agencies-in-ireland-2025-edition,multiple_h1_review,low,review,"[""Best SEO Consultants & Agencies in Ireland (2025 Edition)"", ""10 Best SEO Companies for Ireland: Handpicked by an Expert (2025 Review)""]",Review heading hierarchy; multiple H1s alone do not establish an SEO defect.
https://beehivedesign.vercel.app/blog/best-seo-consultants-agencies-in-ireland-2025-edition,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/best-seo-consultants-agencies-in-ireland-2025-edition"", ""url"": ""https://www.beehivedesign.ie/blog/best-seo-consultants-agencies-in-ireland-2025-edition""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025"", ""url"": ""https://www.beehivedesign.ie/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025""}]",Confirm that consolidation to the target page is intended.
