url,final_url,status,error,title,representation,initial_title,initial_word_count,missing_content_candidate,meta_description,h1,canonical,word_count,schema_types,indexability_candidate,in_sitemap,inlinks_observed,outlinks,click_depth_observed,elapsed_ms,body_bytes,fetched_at,html_path
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/,200,,SEO Agency Ireland | #1 SEO Company & Consultants — Beehive Design,http,SEO Agency Ireland | #1 SEO Company & Consultants — Beehive Design,947,False,"Beehive Design is Ireland's leading SEO agency. Our expert SEO consultants deliver affordable SEO services across Dublin, Cork, Galway & nationwide. Free SEO audit — rank higher, grow faster.","[""Ireland’s #1 SEO agency for businesses that want to be found.""]","[{""raw"": ""https://www.beehivedesign.ie/"", ""url"": ""https://www.beehivedesign.ie/""}]",947,"[""Answer"", ""City"", ""Country"", ""FAQPage"", ""Offer"", ""OpeningHoursSpecification"", ""ProfessionalService"", ""Question"", ""Service"", ""WebSite""]",False,False,18,41,0,525.19,30832,2026-09-24T12:25:19.229609+00:00,html/31dacdeb664693424dd1150f693d5e650ea99251dce54f07b949f0dc9e8be5a6.html
https://beehivedesign.vercel.app/seo-services-ireland,https://beehivedesign.vercel.app/seo-services-ireland,200,,SEO Services Ireland | Affordable SEO Services & Packages — Beehive Design,http,SEO Services Ireland | Affordable SEO Services & Packages — Beehive Design,235,False,"Affordable SEO services in Ireland from the country's #1 SEO agency. Local SEO, eCommerce SEO, technical SEO, content & audits. Packages from €300/month. Free SEO audit.","[""SEO services in Ireland that turn searches into sales.""]","[{""raw"": ""https://www.beehivedesign.ie/seo-services-ireland"", ""url"": ""https://www.beehivedesign.ie/seo-services-ireland""}]",235,"[""BreadcrumbList"", ""ListItem""]",False,False,18,22,1,996.11,8669,2026-09-24T12:25:19.824334+00:00,html/3d1f0da17718f44514088da42241b762ab88f68556e86955164f65467e3665fe.html
https://beehivedesign.vercel.app/seo-consultant-ireland,https://beehivedesign.vercel.app/seo-consultant-ireland,200,,SEO Consultant Ireland | Hire Expert SEO Consultants — Beehive Design,http,SEO Consultant Ireland | Hire Expert SEO Consultants — Beehive Design,191,False,"Work with a dedicated SEO consultant in Ireland. One-time consultations, audits, migrations & ongoing strategy from Ireland's leading SEO experts. Book a free consultation.","[""Hire an SEO consultant who treats your business like their own.""]","[{""raw"": ""https://www.beehivedesign.ie/seo-consultant-ireland"", ""url"": ""https://www.beehivedesign.ie/seo-consultant-ireland""}]",191,"[""BreadcrumbList"", ""ListItem""]",False,False,18,22,1,489.66,8263,2026-09-24T12:25:19.824096+00:00,html/78896550f6821ab368f32877d2d7ee316c98e91a04b9d22e52753d3f335876d3.html
https://beehivedesign.vercel.app/local-seo-services-ireland,https://beehivedesign.vercel.app/local-seo-services-ireland,200,,"Local SEO Services Ireland | Rank in Dublin, Cork & Galway — Beehive Design",http,"Local SEO Services Ireland | Rank in Dublin, Cork & Galway — Beehive Design",181,False,"Local SEO services across Ireland. Dominate Google Maps and local search in Dublin, Cork, Galway, Waterford & Limerick. Free local SEO audit from Ireland's #1 SEO agency.","[""Local SEO services that put you on the map. Literally.""]","[{""raw"": ""https://www.beehivedesign.ie/local-seo-services-ireland"", ""url"": ""https://www.beehivedesign.ie/local-seo-services-ireland""}]",181,"[""BreadcrumbList"", ""ListItem""]",False,False,18,22,1,1509.45,8180,2026-09-24T12:25:19.824454+00:00,html/f48c38540106b3f620cdeba2075a9831fd4ce61247033d7546a5c9f077971754.html
https://beehivedesign.vercel.app/about,https://beehivedesign.vercel.app/about,200,,About Beehive Design | Ireland’s #1 SEO Agency & SEO Experts,http,About Beehive Design | Ireland’s #1 SEO Agency & SEO Experts,177,False,"Meet Beehive Design — Ireland's #1 rated SEO agency. A team of SEO experts and digital strategists serving Dublin, Cork, Galway & nationwide with honest, results-driven SEO.","[""A hive of SEO experts, working for your growth.""]","[{""raw"": ""https://www.beehivedesign.ie/about"", ""url"": ""https://www.beehivedesign.ie/about""}]",177,"[""BreadcrumbList"", ""ListItem""]",False,False,18,22,1,2005.96,7990,2026-09-24T12:25:19.824713+00:00,html/aaa5852d16f09cfc656074a1ab17288df4361398a29b21543c9ee10851e8114f.html
https://beehivedesign.vercel.app/blog,https://beehivedesign.vercel.app/blog,200,,"SEO Blog | Guides, Rankings & SEO Tips for Ireland — Beehive Design",http,"SEO Blog | Guides, Rankings & SEO Tips for Ireland — Beehive Design",516,False,"SEO guides, agency rankings and digital marketing tips for Irish businesses. Learn what SEO costs in Ireland, how to choose an SEO company, and how to grow organic traffic.","[""SEO knowledge, shared freely.""]","[{""raw"": ""https://www.beehivedesign.ie/blog"", ""url"": ""https://www.beehivedesign.ie/blog""}]",516,"[""Blog"", ""BlogPosting""]",False,False,18,33,1,488.75,20900,2026-09-24T12:25:21.855141+00:00,html/7a68cca36071199094de9c47f353a3fd8083b1d8666126b8bccb335c463b2dc2.html
https://beehivedesign.vercel.app/contact,https://beehivedesign.vercel.app/contact,200,,Contact Beehive Design | Free SEO Audit — SEO Agency Ireland,http,Contact Beehive Design | Free SEO Audit — SEO Agency Ireland,154,False,"Contact Ireland's #1 SEO agency for a free SEO audit. Call +353 85 179 1491, WhatsApp us, or email info@beehivedesign.ie. Serving Dublin, Cork, Galway & nationwide.","[""Let’s talk about your rankings.""]","[{""raw"": ""https://www.beehivedesign.ie/contact"", ""url"": ""https://www.beehivedesign.ie/contact""}]",154,"[""BreadcrumbList"", ""ListItem""]",False,False,18,23,1,2050.36,8091,2026-09-24T12:25:21.855435+00:00,html/d18a0b2de90b8d4177f5bed260e09d70ca08414e6436125b3f4f7f8823fc3064.html
https://beehivedesign.vercel.app/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it,https://beehivedesign.vercel.app/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it,200,,Top SEO Consultant in Ireland – What Is SEO & Why Your Business Needs It — Beehive Design,http,Top SEO Consultant in Ireland – What Is SEO & Why Your Business Needs It — Beehive Design,644,False,Top SEO Consultant in Ireland – What Is SEO & Why Your Business Needs It - Ireland’s #1 SEO & Digital Marketing Agency,"[""Top SEO Consultant in Ireland – What Is SEO & Why Your Business Needs It""]","[{""raw"": ""https://www.beehivedesign.ie/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it"", ""url"": ""https://www.beehivedesign.ie/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it""}]",644,"[""BlogPosting"", ""BreadcrumbList"", ""ListItem"", ""Organization"", ""WebPage""]",False,False,2,26,1,1005.49,14562,2026-09-24T12:25:21.855269+00:00,html/7d878705ecc7d643cb2da95fd4f3c2ad12329fbbbdbd3e2a89fc24a32f66f53d.html
https://beehivedesign.vercel.app/blog/best-seo-consultants-agencies-in-ireland-2025-edition,https://beehivedesign.vercel.app/blog/best-seo-consultants-agencies-in-ireland-2025-edition,200,,Best SEO Consultants & Agencies in Ireland (2025 Edition) — Beehive Design,http,Best SEO Consultants & Agencies in Ireland (2025 Edition) — Beehive Design,1183,False,"As digital competition in Ireland grows, businesses are seeking trusted SEO experts who can deliver real results. Whether you're a local business in Cork...","[""Best SEO Consultants & Agencies in Ireland (2025 Edition)"", ""10 Best SEO Companies for Ireland: Handpicked by an Expert (2025 Review)""]","[{""raw"": ""https://www.beehivedesign.ie/blog/best-seo-consultants-agencies-in-ireland-2025-edition"", ""url"": ""https://www.beehivedesign.ie/blog/best-seo-consultants-agencies-in-ireland-2025-edition""}]",1183,"[""BlogPosting"", ""BreadcrumbList"", ""ListItem"", ""Organization"", ""WebPage""]",False,False,2,53,1,1499.59,22408,2026-09-24T12:25:21.855350+00:00,html/190772c3575315de7dfd5a2a14e5bfeb66be0499715a7af198f23fdd8e1f49c9.html
https://beehivedesign.vercel.app/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025,https://beehivedesign.vercel.app/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025,200,,App Development Cost in Ireland: Your Guide to Building Apps in 2025 — Beehive Design,http,App Development Cost in Ireland: Your Guide to Building Apps in 2025 — Beehive Design,1259,False,App Development Cost in Ireland: Your Guide to Building Apps in 2025 - Ireland’s #1 SEO & Digital Marketing Agency,"[""App Development Cost in Ireland: Your Guide to Building Apps in 2025""]","[{""raw"": ""https://www.beehivedesign.ie/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025"", ""url"": ""https://www.beehivedesign.ie/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025""}]",1259,"[""BlogPosting"", ""BreadcrumbList"", ""ListItem"", ""Organization"", ""WebPage""]",False,False,2,25,1,562.37,20391,2026-09-24T12:25:23.935817+00:00,html/ef46c0a899de2f2a06f48259d001651f40ea47799e905954a14cfe6964d38bb1.html
https://beehivedesign.vercel.app/sitemap.xml,https://beehivedesign.vercel.app/sitemap.xml,200,,,http,,,False,,[],[],,[],True,False,18,0,1,1013.02,3749,2026-09-24T12:25:23.935927+00:00,
https://beehivedesign.vercel.app/blog/top-10-private-practice-marketing-companies-in-the-usa,https://beehivedesign.vercel.app/blog/top-10-private-practice-marketing-companies-in-the-usa,200,,Top 10 Private Practice Marketing Companies in the USA for 2026 — Beehive Design,http,Top 10 Private Practice Marketing Companies in the USA for 2026 — Beehive Design,1040,False,"Growing a private medical practice in the U.S. takes more than simply having a website.  Patients increasingly search online, compare specialists, read revi...","[""Top 10 Private Practice Marketing Companies in the USA for 2026"", ""What Should a Doctor Look for in a Marketing Partner?"", ""Which Type of Company Is Right for Your Practice?"", ""Start With Your Current Practice""]","[{""raw"": ""https://www.beehivedesign.ie/blog/top-10-private-practice-marketing-companies-in-the-usa"", ""url"": ""https://www.beehivedesign.ie/blog/top-10-private-practice-marketing-companies-in-the-usa""}]",1040,"[""BlogPosting"", ""BreadcrumbList"", ""ListItem"", ""Organization"", ""WebPage""]",False,False,1,45,2,2024.74,22176,2026-09-24T12:25:23.936113+00:00,html/c4d2750ed144670ab6f2bc05ee4d902750ab68e5ae7e6abe2688aa8210f190d8.html
